Country,Employment_Rate,Continent
South Africa,71.82,Africa
Lesotho,76.59,Africa
Namibia,79.73,Africa
Gabon,80,Africa
Libya,81.44,Africa
Bosnia and Herzegovina,81.58,Europe
Botswana,81.81,Africa
Greece,82.76,Europe
Armenia,83.01,Europe
Sudan,83.47,Africa
Tunisia,83.98,Africa
Montenegro,85.12,Europe
Jordan,85.28,Asia
United States of America,85.3,North America
Georgia,85.6,Europe
Spain,86.04,Europe
Haiti,86.22,North America
Turkey,86.51,Asia
Yemen,87.09,Asia
Iraq,87.18,Asia
Serbia,87.31,Europe
Albania,87.67,Europe
South Sudan,87.76,Africa
Brazil,87.92,South America
Costa Rica,88.15,North America
Guyana,88.15,South America
Algeria,88.3,Africa
Zambia,88.57,Africa
Iran,88.62,Asia
Somalia,88.65,Africa
Afghanistan,88.88,Asia
Tajikistan,88.98,Asia
Egypt,89.24,Africa
The Bahamas,89.64,North America
Djibouti,89.7,Africa
Italy,90.11,Europe
Argentina,90.21,South America
Colombia,90.29,South America
Mauritania,90.45,Africa
Republic of the Congo,90.53,Africa
Brunei,90.88,Asia
The Gambia,90.94,Africa
Morocco,90.98,Africa
Ukraine,91.12,Europe
Venezuela,91.2,South America
Uruguay,91.27,South America
France,91.57,Europe
Syria,91.63,Asia
Nigeria,91.9,Africa
Jamaica,92,Africa
Suriname,92.67,South America
Cyprus,92.73,Europe
Chile,92.91,South America
Croatia,93.07,Europe
Angola,93.11,Africa
Nicaragua,93.16,North America
Senegal,93.4,Africa
Finland,93.41,Europe
Latvia,93.48,Europe
Sweden,93.52,Europe
Equatorial Guinea,93.57,Africa
Belize,93.59,North America
Lithuania,93.65,Europe
Kyrgyzstan,93.67,Asia
Portugal,93.67,Europe
Burkina Faso,93.74,Africa
Lebanon,93.77,Asia
Maldives,93.86,Asia
Mongolia,93.99,Asia
Saudi Arabia,94.07,Asia
Uzbekistan,94.08,Asia
Dominican Republic,94.16,North America
Malawi,94.35,Africa
Belgium,94.41,Europe
Canada,94.44,North America
Slovakia,94.44,Europe
Azerbaijan,94.49,Europe
Moldova,94.53,Europe
Honduras,94.61,North America
India,94.64,Asia
Luxembourg,94.64,Europe
Australia,94.73,Oceania
Eritrea,94.86,Africa
Estonia,94.89,Europe
Zimbabwe,95.05,Africa
Ireland,95.07,Europe
Denmark,95.09,Europe
Paraguay,95.19,South America
Indonesia,95.31,Asia
Austria,95.33,Europe
Belarus,95.41,Europe
Kazakhstan,95.41,Asia
Russia,95.41,Europe
Switzerland,95.42,Europe
East Timor,95.45,Asia
Pakistan,95.55,Asia
Sierra Leone,95.57,Africa
Vanuatu,95.61,Oceania
Bulgaria,95.66,Europe
Ghana,95.67,Africa
People's Republic of China,95.68,Asia
Guinea,95.7,Africa
Democratic Republic of the Congo,95.76,Africa
Slovenia,95.8,Europe
Sri Lanka,95.8,Asia
Bangladesh,95.81,Asia
South Korea,95.85,Asia
El Salvador,95.89,North America
Singapore,95.89,Asia
Fiji,95.9,Oceania
New Zealand,95.93,Oceania
Romania,96.02,Europe
Ecuador,96.03,South America
Turkmenistan,96.09,Asia
Panama,96.1,North America
Israel,96.14,Asia
United Kingdom,96.15,Europe
Central African Republic,96.32,Africa
Bolivia,96.5,South America
Poland,96.53,Europe
Mexico,96.58,North America
Hungary,96.6,Europe
Cameroon,96.62,Africa
Norway,96.65,Europe
Ivory Coast,96.68,Africa
Malaysia,96.68,Asia
Peru,96.69,South America
Mozambique,96.76,Africa
Netherlands,96.8,Europe
Germany,96.96,Europe
Iceland,97.16,Europe
Liberia,97.19,Africa
North Korea,97.26,Asia
Trinidad and Tobago,97.31,North America
Oman,97.33,Asia
Kenya,97.36,Africa
Guinea-Bissau,97.53,Africa
Papua New Guinea,97.54,Oceania
United Arab Emirates,97.65,Asia
Bhutan,97.66,Asia
Japan,97.71,Asia
Benin,97.77,Africa
Kuwait,97.82,Asia
Philippines,97.85,Asia
Ethiopia,97.92,Africa
Togo,97.96,Africa
Vietnam,97.99,Asia
Tanzania,98.02,Africa
Czech Republic,98.07,Europe
Chad,98.11,Africa
Uganda,98.16,Africa
Madagascar,98.24,Africa
Cuba,98.36,North America
Myanmar,98.42,Asia
Burundi,98.57,Africa
Nepal,98.59,Asia
Rwanda,98.97,Africa
Thailand,99.25,Asia
Cambodia,99.32,Asia
Laos,99.37,Asia
Solomon Islands,99.42,Oceania
Niger,99.53,Africa
Qatar,99.91,Asia
