Country,GDP
Afghanistan,19101353833
Albania,15278077447
Algeria,170000000000
Andorra,3154057987
Angola,94635415870
Argentina,450000000000
Armenia,13672802158
Australia,1390000000000
Austria,446000000000
Azerbaijan,39207000000
The Bahamas,12827000000
Bangladesh,303000000000
Belarus,63080457023
Belgium,530000000000
Belize,1879613600
Benin,14390709095
Bhutan,2446674101
Bolivia,40895322865
Bosnia and Herzegovina,20047848435
Botswana,18340510789
Brazil,1840000000000
Brunei,13469422941
Bulgaria,86000000000
Burkina Faso,15745810235
Burundi,3012334882
Ivory Coast,58792205642
Cambodia,27089389787
Cameroon,38760467033
Canada,1740000000000
Central African Republic,2220307369
Chad,11314951343
Chile,282000000000
People's Republic of China,19900000000000
Colombia,324000000000
Republic of the Congo,10820591131
Costa Rica,61773944174
Croatia,60415553039
Cuba,100000000000
Cyprus,24564647935
Czech Republic,246000000000
Democratic Republic of the Congo,47319624204
Denmark,348000000000
Djibouti,3318716359
Dominica,596033333
Dominican Republic,88941298258
Ecuador,107000000000
Egypt,303000000000
El Salvador,27022640000
Equatorial Guinea,11026774945
Eritrea,2065001626
Estonia,31386949981
eswatini,3791304348
Ethiopia,96107662398
Fiji,5535548972
Finland,269000000000
France,2720000000000
Gabon,16657960228
The Gambia,1763819048
Georgia,17743195770
Germany,3850000000000
Ghana,66983634224
Greece,210000000000
Guinea,13590281809
Guinea-Bissau,1340389411
Guyana,4280443645
Haiti,8498981821
Honduras,25095395475
Hungary,161000000000
Iceland,24188035739
India,2610000000000
Indonesia,1120000000000
Iran,445000000000
Iraq,234000000000
Ireland,389000000000
Israel,395000000000
Italy,2000000000000
Jamaica,16458071068
Japan,5080000000000
Jordan,43743661972
Kazakhstan,180000000000
Kenya,95503088538
Kuwait,135000000000
Kyrgyzstan,8454619608
Laos,18173839128
Latvia,34117202555
Lebanon,53367042272
Lesotho,2460072444
Liberia,3070518100
Libya,52076250948
Lithuania,54219315600
Luxembourg,71104919108
Madagascar,14083906357
Malawi,7666704427
Malaysia,365000000000
Maldives,5729248472
Mauritania,7593752450
Mexico,1260000000000
Moldova,11955435457
Monaco,7184844193
Mongolia,13852850259
Montenegro,5494736901
Morocco,119000000000
Mozambique,14934159926
Myanmar,76085852617
Namibia,12366527719
Nepal,30641380604
Netherlands,909000000000
New Zealand,207000000000
Nicaragua,12520915291
Niger,12928145120
Nigeria,448000000000
North Korea,32100000000
Norway,403000000000
Oman,76983094928
Pakistan,304000000000
Panama,66800800000
Papua New Guinea,24969611435
Paraguay,38145288940
Peru,227000000000
Philippines,377000000000
Poland,592000000000
Portugal,238000000000
Qatar,183000000000
Romania,250000000000
Russia,1700000000000
Rwanda,10122472590
Saudi Arabia,793000000000
Senegal,23578084052
Serbia,51409167351
Sierra Leone,3941474311
Singapore,372000000000
Slovakia,105000000000
Slovenia,53742159517
Solomon Islands,1425074226
Somalia,4720727278
South Africa,351000000000
South Korea,2030000000000
South Sudan,11997800751
Spain,1390000000000
Sri Lanka,84008783756
Sudan,18902284476
Suriname,3985250737
Sweden,531000000000
Switzerland,703000000000
Syria,40405006007
Tajikistan,8116626794
Tanzania,63177068175
Thailand,544000000000
East Timor,1673540300
Togo,5459979417
Trinidad and Tobago,24100202834
Tunisia,38797709924
Turkey,754000000000
Turkmenistan,40761142857
Uganda,34387229486
Ukraine,154000000000
United Arab Emirates,421000000000
United Kingdom,2830000000000
United States of America,21400000000000
Uruguay,56045912952
Uzbekistan,57921286440
Vanuatu,917058851
Venezuela,482000000000
Vietnam,262000000000
Yemen,26914402224
Zambia,23064722446
Zimbabwe,21440758800
