Country,"Density
(P/Km2)",Land Area(Km2),Birth Rate,Fertility Rate,Gasoline Price,GDP,Gross tertiary education enrollment (%),Life expectancy,Minimum wage,Official language,Out of pocket health expenditure,Infant mortality,Maternal mortality ratio,Physicians per thousand,Population,Tax revenue (%),Total tax rate,CPI,Unemployment rate,Urban_population,Co2-Emissions,Latitude,Longitude
Afghanistan,60,652230,32.49,4.47,0.7,19101353833,9.70%,64.5,0.43,Pashto,78.40%,48,638,0.28,38041754,9.30%,71.40%,149.9,11.12%,9797273,8672,33.93911,67.709953
Albania,105,28748,11.78,1.62,1.36,15278077447,55.00%,78.5,1.12,Albanian,56.90%,8,15,1.2,2854191,18.60%,36.60%,119.05,12.33%,1747593,4536,41.153332,20.168331
Algeria,18,2381741,24.28,3.02,0.28,170000000000,51.40%,76.7,0.95,Arabic,28.10%,20,112,1.72,43053054,37.20%,66.10%,151.36,11.70%,31510100,150006,28.033886,1.659626
Andorra,164,468,7.2,1.27,1.51,3154057987,,,6.63,Catalan,36.40%,3,,3.33,77142,,,,,67873,469,42.506285,1.521801
Angola,26,1246700,40.73,5.52,0.97,94635415870,9.30%,60.8,0.71,Portuguese,33.40%,52,241,0.21,31825295,9.20%,49.10%,261.73,6.89%,21061025,34693,-11.202692,17.873887
Argentina,17,2780400,17.02,2.26,1.1,450000000000,90.00%,76.5,3.35,Spanish,17.60%,9,39,3.96,44938712,10.10%,106.30%,232.75,9.79%,41339571,201348,-38.416097,-63.616672
Armenia,104,29743,13.99,1.76,0.77,13672802158,54.60%,74.9,0.66,Armenian,81.60%,11,26,4.4,2957731,20.90%,22.60%,129.18,16.99%,1869848,5156,40.069099,45.038189
Australia,3,7741220,12.6,1.74,0.93,1390000000000,113.10%,82.7,13.59,None,19.60%,3,6,3.68,25766605,23.00%,47.40%,119.8,5.27%,21844756,375908,-25.274398,133.775136
Austria,109,83871,9.7,1.47,1.2,446000000000,85.10%,81.6,,German,17.90%,3,5,5.17,8877067,25.40%,51.40%,118.06,4.67%,5194416,61448,47.516231,14.550072
Azerbaijan,123,86600,14,1.73,0.56,39207000000,27.70%,72.9,0.47,Azerbaijani language,78.60%,19,26,3.45,10023318,13.00%,40.70%,156.32,5.51%,5616165,37620,40.143105,47.576927
The Bahamas,39,13880,13.97,1.75,0.92,12827000000,15.10%,73.8,5.25,English,27.80%,8,70,1.94,389482,14.80%,33.80%,116.22,10.36%,323784,1786,25.03428,-77.39628
Bangladesh,1265,148460,18.18,2.04,1.12,303000000000,20.60%,72.3,0.51,Bengali,71.80%,25,173,0.58,167310838,8.80%,33.40%,179.68,4.19%,60987417,84246,23.684994,90.356331
Belarus,47,207600,9.9,1.45,0.6,63080457023,87.40%,74.2,1.49,Russian,34.50%,3,2,5.19,9466856,14.70%,53.30%,,4.59%,7482982,58280,53.709807,27.953389
Belgium,383,30528,10.3,1.62,1.43,530000000000,79.70%,81.6,10.31,French,17.60%,3,5,3.07,11484055,24.00%,55.40%,117.11,5.59%,11259082,96889,50.503887,4.469936
Belize,17,22966,20.79,2.31,1.13,1879613600,24.70%,74.5,1.65,English,22.70%,11,36,1.12,390353,26.30%,31.10%,105.68,6.41%,179039,568,17.189877,-88.49765
Benin,108,112622,36.22,4.84,0.72,14390709095,12.30%,61.5,0.39,French,40.50%,61,397,0.08,11801151,10.80%,48.90%,110.71,2.23%,5648149,6476,9.30769,2.315834
Bhutan,20,38394,17.26,1.98,0.98,2446674101,15.60%,71.5,0.32,Dzongkha,19.80%,25,183,0.42,727145,16.00%,35.30%,167.18,2.34%,317538,1261,27.514162,90.433601
Bolivia,11,1098581,21.75,2.73,0.71,40895322865,,71.2,1.36,Spanish,25.90%,22,155,1.59,11513100,17.00%,83.70%,148.32,3.50%,8033035,21606,-16.290154,-63.588653
Bosnia and Herzegovina,64,51197,8.11,1.27,1.05,20047848435,23.30%,77.3,1.04,Bosnian,28.60%,5,10,2.16,3301000,20.40%,23.70%,104.9,18.42%,1605144,21848,43.915886,17.679076
Botswana,4,581730,24.82,2.87,0.71,18340510789,24.90%,69.3,,English,5.30%,30,144,0.37,2346179,19.50%,25.10%,149.75,18.19%,1616550,6340,-22.328474,24.684866
Brazil,25,8515770,13.92,1.73,1.02,1840000000000,51.30%,75.7,1.53,Portuguese,28.30%,13,60,2.15,212559417,14.20%,65.10%,167.4,12.08%,183241641,462299,-14.235004,-51.92528
Brunei,83,5765,14.9,1.85,0.37,13469422941,31.40%,75.7,,Malay,6.00%,10,31,1.61,433285,,8.00%,99.03,9.12%,337711,7664,4.535277,114.727669
Bulgaria,64,110879,8.9,1.56,1.11,86000000000,71.00%,74.9,1.57,Bulgarian,47.70%,6,10,4.03,6975761,20.20%,28.30%,114.42,4.34%,5256027,41708,42.733883,25.48583
Burkina Faso,76,274200,37.93,5.19,0.98,15745810235,6.50%,61.2,0.34,French,36.10%,49,320,0.08,20321378,15.00%,41.30%,106.58,6.26%,6092349,3418,12.238333,-1.561593
Burundi,463,27830,39.01,5.41,1.21,3012334882,6.10%,61.2,,Kirundi,19.10%,41,548,0.1,11530580,13.60%,41.20%,182.11,1.43%,1541177,495,-3.373056,29.918886
Ivory Coast,83,322463,35.74,4.65,0.93,58792205642,9.30%,57.4,0.36,French,36.00%,59,617,0.23,25716544,11.80%,50.10%,111.61,3.32%,13176900,9674,7.539989,-5.54708
Cambodia,95,181035,22.46,2.5,0.9,27089389787,13.70%,69.6,,Khmer language,59.40%,24,160,0.17,16486542,17.10%,23.10%,127.63,0.68%,3924621,9919,12.565679,104.990963
Cameroon,56,475440,35.39,4.57,1.03,38760467033,12.80%,58.9,0.35,French,69.70%,51,529,0.09,25876380,12.80%,57.70%,118.65,3.38%,14741256,8291,7.369722,12.354722
Canada,4,9984670,10.1,1.5,0.81,1740000000000,68.90%,81.9,9.51,French,14.60%,4,10,2.61,36991981,12.80%,24.50%,116.76,5.56%,30628482,544894,56.130366,-106.346771
Central African Republic,8,622984,35.35,4.72,1.41,2220307369,3.00%,52.8,0.37,French,39.60%,85,829,0.06,4745185,8.60%,73.30%,186.86,3.68%,1982064,297,6.611111,20.939444
Chad,13,1284000,42.17,5.75,0.78,11314951343,3.30%,54,0.6,French,56.40%,71,1140,0.04,15946876,,63.50%,117.7,1.89%,3712273,1016,15.454166,18.732207
Chile,26,756096,12.43,1.65,1.03,282000000000,88.50%,80,2,Spanish,32.20%,6,13,2.59,18952038,18.20%,34.00%,131.91,7.09%,16610135,85822,-35.675147,-71.542969
China,153,9596960,10.9,1.69,0.96,19900000000000,50.60%,77,0.87,Standard Chinese,32.40%,7,29,1.98,1397715000,9.40%,59.20%,125.08,4.32%,842933962,9893038,35.86166,104.195397
Colombia,46,1138910,14.88,1.81,0.68,324000000000,55.30%,77.1,1.23,Spanish,18.30%,12,83,2.18,50339443,14.40%,71.20%,140.95,9.71%,40827302,97814,4.570868,-74.297333
Republic of the Congo,16,342000,32.86,4.43,0.97,10820591131,12.70%,64.3,0.88,French,43.80%,36,378,0.12,5380508,9.00%,54.30%,124.74,9.47%,3625010,3282,-0.228021,15.827659
Costa Rica,100,51100,13.97,1.75,0.98,61773944174,55.20%,80.1,1.84,Spanish,21.50%,8,27,2.89,5047561,13.60%,58.30%,128.85,11.85%,4041885,8023,9.748917,-83.753428
Croatia,73,56594,9,1.47,1.26,60415553039,67.90%,78.1,2.92,Croatian,15.20%,4,8,3,4067500,22.00%,20.50%,109.82,6.93%,2328318,17488,45.1,15.2
Cuba,106,110860,10.17,1.62,1.4,100000000000,41.40%,78.7,0.05,Spanish,,4,36,8.42,11333483,,,,1.64%,8739135,28284,21.521757,-77.781167
Cyprus,131,9251,10.46,1.33,1.23,24564647935,75.90%,80.8,,Greek,43.90%,2,6,1.95,1198575,24.50%,22.40%,102.51,7.27%,800708,6626,35.126413,33.429859
Czech Republic,139,78867,10.7,1.69,1.17,246000000000,64.10%,79,3,Czech,14.80%,3,3,4.12,10669709,14.90%,46.10%,116.48,1.93%,7887156,102218,49.817492,15.472962
Democratic Republic of the Congo,40,2344858,41.18,5.92,1.49,47319624204,6.60%,60.4,0.18,French,37.40%,68,473,0.07,86790567,10.70%,50.70%,133.85,4.24%,39095679,2021,-4.038333,21.758664
Denmark,137,43094,10.6,1.73,1.55,348000000000,80.60%,81,,Danish,13.70%,4,4,4.01,5818553,32.40%,23.80%,110.35,4.91%,5119978,31786,56.26392,9.501785
Djibouti,43,23200,21.47,2.73,1.32,3318716359,5.30%,66.6,,French,20.40%,50,248,0.22,973560,,37.90%,120.25,10.30%,758549,620,11.825138,42.590275
Dominica,96,751,12,1.9,,596033333,7.20%,76.6,1.48,English,28.40%,33,,1.08,71808,22.10%,32.60%,103.87,,50830,180,15.414999,-61.370976
Dominican Republic,225,48670,19.51,2.35,$1.07 ,88941298258,59.90%,73.9,0.4,Spanish,43.70%,24,95,1.56,10738958,13.00%,48.80%,135.5,5.84%,8787475,25258,18.735693,-70.162651
Ecuador,71,283561,19.72,2.43,$0.61 ,107000000000,44.90%,76.8,2.46,Spanish,43.70%,12,59,2.04,17373662,,34.40%,124.14,3.97%,11116711,41155,-1.831239,-78.183406
Egypt,103,1001450,26.38,3.33,$0.40 ,303000000000,35.20%,71.8,,Modern Standard Arabic,62.00%,18,37,0.45,100388073,12.50%,44.40%,288.57,10.76%,42895824,238560,26.820553,30.802498
El Salvador,313,21041,18.25,2.04,$0.83 ,27022640000,29.40%,73.1,0.5,Spanish,27.90%,12,46,1.57,6453553,18.10%,36.40%,111.23,4.11%,4694702,7169,13.794185,-88.89653
Equatorial Guinea,50,28051,33.24,4.51,,11026774945,1.90%,58.4,1.05,Spanish,72.00%,63,301,0.4,1355986,6.10%,79.40%,124.35,6.43%,984812,5655,1.650801,10.267895
Eritrea,35,117600,30.3,4.06,$2.00 ,2065001626,3.40%,65.9,,Tigrinya,52.40%,31,480,0.06,6333135,,83.70%,,5.14%,1149670,711,15.179384,39.782334
